,medical_condition
Pain,264
Colds & Flu,245
Acne,238
Hypertension,177
Osteoarthritis,129
Hayfever,124
Eczema,122
AIDS/HIV,109
Diabetes (Type 2),104
Psoriasis,93
GERD (Heartburn),77
Pneumonia,72
Angina,71
Bronchitis,71
Migraine,61
Insomnia,60
Constipation,60
Diabetes (Type 1),57
Osteoporosis,56
ADHD,55
Depression,51
Seizures,50
Bipolar Disorder,47
UTI,46
Asthma,45
Anxiety,45
Cholesterol,45
Diarrhea,38
Covid 19,34
Rheumatoid Arthritis,33
Alzheimer's,27
Weight Loss,23
COPD,23
IBD (Bowel),22
Schizophrenia,20
Cancer,20
Incontinence,19
Hypothyroidism,17
Allergies,14
Erectile Dysfunction,13
Hair Loss,11
Herpes,10
Gout,9
Menopause,7
Gastrointestinal,7
Stroke,5
Swine Flu,5
